lang,depth,error_rate,p50_ms,p99_ms,avg_ms,rps,stddev_bat,total_reqs,cpu_avg_pct,ram_avg_mb,p50_base,delta_pct
go,1,0,2.181,6.168,2.396,20106.731,0.047,3619300,86.083,8.747,2.181,0.000
go,1,5,2.117,5.947,2.305,20854.470,0.045,3753930,82.903,9.113,2.181,-2.954
go,1,50,2.114,5.954,2.299,20882.018,0.010,3758868,81.873,9.607,2.181,-3.063
go,1,100,2.270,6.663,2.503,19200.578,0.109,3456192,84.907,9.433,2.181,4.064
go,25,0,2.189,6.433,2.417,19892.371,0.033,3580758,83.783,9.190,2.189,0.000
go,25,5,1.958,5.333,2.094,22921.917,0.003,4126084,80.773,9.120,2.189,-10.540
go,25,50,2.004,5.597,2.158,22284.215,0.065,4011249,79.493,9.163,2.189,-8.457
go,25,100,1.959,5.300,2.094,22908.109,0.007,4123585,80.437,9.033,2.189,-10.487
go,50,0,1.957,5.232,2.091,22964.847,0.018,4133810,80.543,9.020,1.957,0.000
go,50,5,1.955,5.139,2.081,23061.487,0.002,4151195,79.457,8.923,1.957,-0.146
go,50,50,1.954,5.182,2.083,23041.917,0.004,4147666,81.077,8.997,1.957,-0.177
go,50,100,1.963,5.228,2.094,22912.020,0.008,4124274,80.980,8.913,1.957,0.307
java,1,0,4.406,72.118,11.029,4448.138,0.141,800757,98.533,211.987,4.406,0.000
java,1,5,5.097,70.498,11.908,4090.117,0.155,736720,97.580,213.090,4.406,15.668
java,1,50,13.484,68.180,18.374,2539.186,0.926,457160,93.363,213.443,4.406,206.015
java,1,100,23.408,51.411,24.346,1925.508,1.701,346672,80.677,212.867,4.406,431.250
java,25,0,4.463,70.818,10.911,4494.462,0.212,809297,97.710,213.243,4.463,0.000
java,25,5,5.205,66.360,11.860,4098.774,0.095,738061,99.517,213.730,4.463,16.621
java,25,50,12.165,61.950,16.154,2925.504,0.233,526752,99.577,213.910,4.463,172.556
java,25,100,22.839,63.857,25.194,1850.610,0.874,333203,77.247,213.203,4.463,411.694
java,50,0,4.196,67.643,10.031,4897.842,0.126,881658,97.333,213.420,4.196,0.000
java,50,5,4.843,67.609,11.241,4335.428,0.167,780530,99.743,215.670,4.196,15.417
java,50,50,12.912,64.905,16.296,2897.125,0.806,521576,96.827,215.863,4.196,207.713
java,50,100,20.765,44.095,21.687,2162.446,0.054,389327,78.813,215.103,4.196,394.860
nodejs,1,0,6.949,23.633,8.298,5967.369,0.147,1074256,98.280,29.837,6.949,0.000
nodejs,1,5,6.923,23.149,8.240,6006.955,0.080,1081381,98.497,29.790,6.949,-0.376
nodejs,1,50,7.680,24.178,9.054,5471.017,0.060,984929,98.503,29.813,6.949,10.523
nodejs,1,100,8.384,26.669,9.909,5016.749,0.462,903157,98.440,29.963,6.949,20.649
nodejs,25,0,7.733,27.235,9.315,5324.619,0.399,958532,98.017,29.897,7.733,0.000
nodejs,25,5,8.321,28.168,9.867,5022.239,0.246,904160,97.673,29.960,7.733,7.609
nodejs,25,50,9.093,30.027,10.652,4653.650,0.151,837779,97.780,29.870,7.733,17.594
nodejs,25,100,8.978,29.313,10.630,4676.216,0.662,841850,97.943,29.877,7.733,16.101
nodejs,50,0,8.108,27.631,9.605,5160.342,0.206,928971,97.570,29.887,8.108,0.000
nodejs,50,5,8.079,27.545,9.594,5173.336,0.453,931325,97.657,29.853,8.108,-0.354
nodejs,50,50,9.443,31.790,11.182,4432.888,0.158,798082,97.513,29.927,8.108,16.472
nodejs,50,100,8.891,27.547,10.393,4787.044,0.698,861793,96.767,29.873,8.108,9.658
rust,1,0,2.003,4.714,2.097,22898.804,0.015,4121879,57.483,3.183,2.003,0.000
rust,1,5,1.995,4.767,2.093,22947.761,0.005,4130708,58.100,3.033,2.003,-0.376
rust,1,50,2.061,5.071,2.165,22206.460,0.052,3997248,62.740,3.280,2.003,2.882
rust,1,100,2.008,5.069,2.139,22534.151,0.113,4056247,68.990,3.370,2.003,0.266
rust,25,0,2.009,4.839,2.114,22727.216,0.019,4090989,57.397,3.163,2.009,0.000
rust,25,5,2.002,4.743,2.097,22905.098,0.004,4123003,57.490,3.160,2.009,-0.380
rust,25,50,2.004,4.696,2.097,22900.054,0.004,4122081,58.060,3.063,2.009,-0.252
rust,25,100,2.007,4.757,2.104,22799.626,0.006,4104061,57.897,3.020,2.009,-0.090
rust,50,0,2.013,4.744,2.108,22787.666,0.013,4101855,57.273,3.100,2.013,0.000
rust,50,5,2.002,4.755,2.101,22869.199,0.005,4116707,57.603,3.293,2.013,-0.505
rust,50,50,2.003,4.764,2.099,22871.673,0.009,4117001,58.033,3.213,2.013,-0.454
rust,50,100,2.005,4.745,2.102,22842.920,0.004,4111802,58.160,2.957,2.013,-0.368
